time,wx,wy,wz
9.339,-0.09,0.74,0.07
9.356,-0.06,0.51,0.11
9.372,0.04,0.32,0.13
9.389,0.14,0.19,0.19
9.406,0.25,0.02,0.28
9.422,0.44,-0.08,0.35
9.439,0.61,-0.17,0.37
9.456,0.68,-0.20,0.31
9.472,0.64,-0.23,0.21
9.489,0.53,-0.22,0.11
9.506,0.39,-0.06,0.05
9.522,0.25,0.11,0.10
9.539,0.15,0.07,0.23
9.556,0.29,-0.44,0.39
9.572,0.60,-1.30,0.40
9.589,0.78,-2.49,0.26
9.606,0.70,-2.63,0.13
9.622,0.33,-1.48,0.28
9.639,0.25,-0.35,0.60
9.656,0.61,-0.52,0.77
9.689,0.67,-0.39,0.71
9.706,1.05,-0.72,0.46
9.722,1.15,-0.11,0.61
9.756,1.01,-0.17,0.84
9.772,0.74,-0.77,0.75
9.789,0.71,-0.96,0.53
9.806,0.87,-0.85,0.29
9.822,1.11,-0.87,-0.01
9.839,1.27,-1.00,-0.24
9.856,1.21,-1.36,-0.48
9.872,1.06,-1.46,-0.65
9.889,1.00,-1.41,-0.74
9.906,1.08,-0.84,-0.66
9.922,1.18,-0.77,-0.65
9.939,1.10,-0.98,-0.70
9.956,0.88,-0.91,-0.57
9.972,0.70,-0.61,-0.49
9.988,0.63,-0.00,-0.40
10.006,0.59,0.44,-0.24
10.023,0.50,0.47,-0.12
10.039,0.40,0.08,-0.10
10.056,0.31,-0.43,-0.17
10.072,0.31,-0.74,-0.20
10.089,0.31,-0.45,-0.14
10.106,0.32,-0.00,-0.06
10.123,0.26,0.13,-0.13
10.139,0.15,-0.12,-0.20
10.156,0.16,-0.37,-0.25
10.172,0.33,-0.53,-0.26
10.189,0.48,-0.53,-0.21
10.206,0.46,-0.58,-0.14
10.222,-0.06,-0.72,0.02
10.239,-0.04,-0.51,0.11
10.272,0.17,-0.45,-0.05
10.289,0.28,-0.38,-0.01
10.305,0.32,-0.17,0.06
10.323,-0.02,-0.13,-0.00
10.339,-0.18,0.05,-0.10
9.351,-0.06,0.51,0.11
9.366,0.04,0.32,0.13
9.381,0.14,0.19,0.19
9.396,0.25,0.02,0.28
9.416,0.44,-0.08,0.35
9.431,0.61,-0.17,0.37
9.446,0.68,-0.20,0.31
9.461,0.64,-0.23,0.21
9.481,0.53,-0.22,0.11
9.496,0.39,-0.06,0.05
9.510,0.25,0.11,0.10
9.525,0.15,0.07,0.23
9.545,0.29,-0.44,0.39
9.560,0.60,-1.30,0.40
9.575,0.78,-2.49,0.26
9.590,0.70,-2.63,0.13
9.610,0.33,-1.48,0.28
9.625,0.25,-0.35,0.60
9.640,0.50,-0.23,0.90
9.655,0.61,-0.52,0.77
9.675,0.67,-0.39,0.71
9.689,0.84,-1.00,0.57
9.704,1.05,-0.72,0.46
9.720,1.15,-0.11,0.61
9.739,1.20,0.03,0.80
9.754,1.01,-0.17,0.84
9.769,0.74,-0.77,0.75
9.784,0.71,-0.96,0.53
9.804,0.87,-0.85,0.29
9.819,1.11,-0.87,-0.01
9.834,1.27,-1.00,-0.24
9.849,1.21,-1.36,-0.48
9.869,1.06,-1.46,-0.65
9.883,1.00,-1.41,-0.74
9.899,1.08,-0.84,-0.66
9.914,1.18,-0.77,-0.65
9.933,1.10,-0.98,-0.70
9.948,0.88,-0.91,-0.57
9.963,0.70,-0.61,-0.49
9.978,0.63,-0.00,-0.40
9.998,0.59,0.44,-0.24
10.013,0.50,0.47,-0.12
10.028,0.40,0.08,-0.10
10.043,0.31,-0.43,-0.17
10.063,0.31,-0.74,-0.20
10.078,0.31,-0.45,-0.14
10.093,0.32,-0.00,-0.06
10.108,0.26,0.13,-0.13
10.127,0.15,-0.12,-0.20
