time,ax,ay,az,atotal
5.452,0.21,0.21,2.84,2.85
5.462,0.24,0.23,2.76,2.78
5.472,0.23,0.30,2.66,2.69
5.482,0.18,0.41,2.44,2.48
5.492,0.10,0.52,2.17,2.23
5.502,0.06,0.60,2.03,2.12
5.512,0.12,0.60,2.04,2.13
5.522,0.17,0.54,1.91,1.99
5.532,0.08,0.47,1.71,1.78
5.542,-0.03,0.39,1.59,1.64
5.552,-0.08,0.33,1.31,1.36
5.562,-0.16,0.36,0.98,1.06
5.572,-0.24,0.43,0.66,0.82
5.582,-0.29,0.54,0.42,0.74
5.592,-0.20,0.68,0.23,0.75
5.602,-0.00,0.81,0.13,0.82
5.612,0.10,0.88,0.24,0.91
5.622,0.01,0.86,0.39,0.95
5.632,-0.13,0.75,0.48,0.90
5.642,-0.08,0.64,0.45,0.79
5.652,0.08,0.56,0.38,0.68
5.662,0.23,0.52,0.26,0.63
5.671,0.27,0.53,0.13,0.61
5.681,0.20,0.57,0.03,0.61
5.691,0.10,0.64,-0.08,0.65
5.701,0.04,0.66,-0.04,0.67
5.711,-0.04,0.60,-0.13,0.62
5.721,-0.09,0.48,-0.41,0.64
5.731,-0.08,0.33,-0.72,0.80
5.741,0.03,0.18,-0.89,0.91
5.751,0.22,0.06,-0.93,0.96
5.761,0.38,-0.01,-0.99,1.06
5.771,0.49,-0.07,-0.97,1.09
5.781,0.53,-0.13,-0.87,1.03
5.791,0.54,-0.17,-0.86,1.03
5.801,0.51,-0.21,-0.89,1.05
5.811,0.47,-0.27,-0.96,1.10
5.821,0.39,-0.30,-1.07,1.18
5.831,0.29,-0.34,-1.13,1.22
5.841,0.20,-0.36,-1.23,1.30
5.851,0.16,-0.41,-1.35,1.42
5.860,0.13,-0.48,-1.43,1.51
5.870,0.09,-0.52,-1.44,1.53
5.880,0.09,-0.55,-1.43,1.54
5.890,0.08,-0.58,-1.35,1.48
5.900,0.15,-0.60,-1.33,1.46
5.910,0.26,-0.62,-1.34,1.50
5.920,0.40,-0.60,-1.35,1.54
5.930,0.46,-0.62,-1.36,1.56
5.940,0.43,-0.68,-1.33,1.56
5.950,0.25,-0.72,-1.53,1.71
5.960,0.03,-0.74,-1.85,1.99
5.970,-0.08,-0.63,-2.14,2.24
5.980,-0.10,-0.45,-2.28,2.33
5.990,-0.03,-0.27,-2.27,2.28
6.000,0.12,-0.15,-2.13,2.13
6.010,0.23,-0.12,-1.77,1.79
6.020,0.20,-0.20,-1.34,1.37
6.029,-0.01,-0.37,-1.12,1.18
6.040,-0.17,-0.51,-1.33,1.44
6.050,-0.17,-0.55,-1.51,1.62
6.060,-0.06,-0.52,-1.45,1.54
6.069,0.05,-0.45,-1.40,1.47
6.079,-0.00,-0.37,-1.43,1.48
6.089,-0.11,-0.29,-1.52,1.56
6.099,-0.16,-0.24,-1.59,1.62
6.109,-0.14,-0.20,-1.60,1.61
6.119,-0.06,-0.17,-1.67,1.68
6.129,-0.00,-0.08,-1.74,1.74
6.139,0.06,-0.04,-1.71,1.72
6.149,0.10,0.02,-1.58,1.58
6.159,0.14,0.06,-1.42,1.43
6.169,0.04,0.07,-1.39,1.39
6.179,-0.16,0.10,-1.49,1.50
6.189,-0.29,0.14,-1.58,1.61
6.199,-0.30,0.21,-1.70,1.74
6.209,-0.17,0.29,-1.82,1.85
6.219,0.04,0.32,-1.81,1.84
6.229,0.11,0.32,-1.68,1.72
6.238,0.07,0.27,-1.53,1.56
6.249,-0.01,0.16,-1.35,1.36
6.258,-0.03,0.02,-1.20,1.20
6.268,0.03,-0.11,-1.15,1.16
6.278,0.11,-0.26,-1.23,1.26
6.288,0.13,-0.41,-1.41,1.47
6.298,0.09,-0.55,-1.53,1.62
6.308,0.03,-0.62,-1.57,1.69
6.318,0.09,-0.59,-1.52,1.63
6.328,0.27,-0.46,-1.37,1.47
6.338,0.45,-0.28,-1.13,1.25
6.348,0.55,-0.14,-0.84,1.01
6.358,0.56,-0.03,-0.64,0.85
6.368,0.57,-0.01,-0.28,0.63
6.378,0.52,-0.08,-0.10,0.54
6.388,0.42,-0.21,-0.19,0.51
6.398,0.37,-0.29,-0.34,0.58
6.408,0.28,-0.28,-0.63,0.75
6.418,0.22,-0.22,-0.90,0.95
6.428,0.25,-0.09,-1.06,1.10
6.438,0.27,0.09,-1.10,1.13
6.448,0.33,0.25,-1.13,1.20
6.457,0.34,0.34,-1.19,1.29
6.467,0.30,0.34,-1.13,1.21
